country_name,country_code_ISO3,country_code
Isla Bunker,BUN,837
Isla de Navidad,CXR,162
Isla Norfolk,NFK,574
Islandia,ISL,352
Islas Caimán,CYM,136
Islas Cocos (Keeling),CCK,166
Islas Cook,COK,184
Islas del Pacífico,PCE,582
Islas Falkland,FLK,238
Islas Feroe,FRO,234
Islas Georgias del Sur y Sandwich del Sur,SGS,239
Islas Heard y McDonald,HMD,334
Islas Marshall,MHL,584
Islas Salomón,SLB,90
Islas Turcas y Caicos,TCA,796
Islas Ultramarinas Menores de Estados Unidos,UMI,581
Islas Vírgenes (EE.UU.),VIR,850
Islas Vírgenes Británicas,VGB,92
Islas Wallis y Futuna,WLF,876
Israel,ISR,376
Italia,ITA,380
Jamaica,JAM,388
Japón,JPN,392
Jhonston Island,JTN,396
Jordania,JOR,400
Kazajstán,KAZ,398
Kenya,KEN,404
Kirguistán,KGZ,417
Kiribati,KIR,296
Kosovo,KSV,412
Kuwait,KWT,414
Lesotho,LSO,426
Letonia,LVA,428
Líbano,LBN,422
Liberia,LBR,430
Libia,LBY,434
Liechtenstein,LIE,438
Lituania,LTU,440
Luxemburgo,LUX,442
Macao,MAC,446
"Macedonia, ex  Rep. Yugoslava de",MKD,807
Madagascar,MDG,450
Malasia,MYS,458
Malawi,MWI,454
Maldivas,MDV,462
Malí,MLI,466
Malta,MLT,470
Mariana,MNP,580
Marruecos,MAR,504
Martinica,MTQ,474
Mauricio,MUS,480
Mauritania,MRT,478
Mayotte,MYT,175
México,MEX,484
"Micronesia, Estados Fed. de",FSM,583
Midway Islands,MID,488
Mónaco,MCO,492
Mongolia,MNG,496
Montenegro,MNT,499
Montserrat,MSR,500
Mozambique,MOZ,508
Mundo,WLD,0
Myanmar,MMR,104
Namibia,NAM,516
Nauru,NRU,520
Nepal,NPL,524
Nicaragua,NIC,558
Níger,NER,562
Nigeria,NGA,566
Niue,NIU,570
No especificados,UNS,898
Noruega,NOR,578
Nueva Caledonia,NCL,540
Nueva Zelandia,NZL,554
Omán,OMN,512
"Otra zona de Asia, no esp.",OAS,490
Países Bajos,NLD,528
Pakistán,PAK,586
Palau,PLW,585
Panamá,PAN,591
Papua Nueva Guinea,PNG,598
Paraguay,PRY,600
Pen Malaysia,PMY,459
Perú,PER,604
Pitcairn,PCN,612
Polinesia Francesa,PYF,258
Polonia,POL,616
Portugal,PRT,620
Puerto Rico,PRI,630
Qatar,QAT,634
Reino Unido,GBR,826
República �?rabe Siria,SYR,760
República Centroafricana,CAF,140
República Checa,CZE,203
República de Moldova,MDA,498
República Democrática Alemana,DDR,278
República Democrática Popular Lao,LAO,418
República Dominicana,DOM,214
República Eslovaca,SVK,703
Reunión,REU,638
Rumania,ROM,642
Rwanda,RWA,646
Ryukyu Is,RYU,647
Sabah,SBH,461
Sahara Occidental,ESH,732
Saint Kitts y Nevis,KNA,659
Saint Kitts-Nevis-Anguilla-Aru,KN1,658
Samoa,WSM,882
Samoa Americana,ASM,16
San Marino,SMR,674
San Martín,SXM,534
San Pedro y Miquelón,SPM,666
San Vicente y las Granadinas,VCT,670
Santa Elena,SHN,654
Santa Lucía,LCA,662
Santa Sede,VAT,336
Santo Tomé y Príncipe,STP,678
Sarawak,SWK,457
Senegal,SEN,686
"Serbia, Rep. Fed. de (Serbia y Montenegro)",SER,891
Seychelles,SYC,690
Sierra Leona,SLE,694
SIKKIM,SIK,698
Singapur,SGP,702
Somalia,SOM,706
Sri Lanka,LKA,144
Sudáfrica,ZAF,710
Sudán,SUD,729
Sudán del Sur,SSD,728
Suecia,SWE,752
Suiza,CHE,756
Suriname,SUR,740
Svalbard and Jan Mayen Is,SJM,744
Swazilandia,SWZ,748
Tailandia,THA,764
"Taiwán, China",TWN,158
Tanzanía,TZA,834
Tayikistán,TJK,762
Territorio Antártico Británico,BAT,80
Territorio Británico del Océano �?ndico,IOT,86
Territorio Palestino Ocupado,PSE,275
Tierras Australes y Antárticas  Francesas,ATF,260
Timor Oriental,TMP,626
Togo,TGO,768
Tokelau,TKL,772
Tonga,TON,776
Trinidad y Tobago,TTO,780
Túnez,TUN,788
Turkmenistán,TKM,795
Turquía,TUR,792
Tuvalu,TUV,798
Ucrania,UKR,804
Uganda,UGA,800
Unión Soviética,SVU,810
Uruguay,URY,858
Uzbekistán,UZB,860
Vanuatu,VUT,548
Venezuela,VEN,862
Viet Nam,VNM,704
Wake Island,WAK,872
"Yemen, Rep. del",YEM,887
"Yemen, Rep. Dem.  Del",YDR,720
"Yugoslavia, Rep. Fed. de (Serbia y Montenegro)",YUG,890
Zambia,ZMB,894
Zimbabwe,ZWE,716
